state,state_abbr,firearm_total_rate_cdc_2024,firearm_homicide_rate_2024,firearm_suicide_rate_2024,gun_ownership_fss_proxy,source_url,extraction_method
Pennsylvania,PA,12.5,3.9,8.3,0.5848238482384824,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Rhode Island,RI,5.0,1.1,3.8,0.4,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
South Carolina,SC,19.8,7.8,11.4,0.6769911504424779,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
South Dakota,SD,17.3,3.2,12.7,0.5909090909090909,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Tennessee,TN,20.3,8.1,11.5,0.6639544344995931,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Texas,TX,14.4,4.8,9.1,0.6189309576837416,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Utah,UT,13.3,1.7,11.1,0.5684210526315789,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Vermont,VT,11.7,1.9,9.4,0.580952380952381,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Virginia,VA,13.2,4.5,8.4,0.6095317725752508,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Washington,WA,11.7,3.0,8.3,0.5298935298935299,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
West Virginia,WV,15.9,3.6,11.5,0.66996699669967,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Wisconsin,WI,12.4,3.5,8.6,0.5510869565217391,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
Wyoming,WY,24.5,1.9,21.1,0.727810650887574,"https://data.cdc.gov/resource/fpsi-y8tj.json (intent split, period 2024)",cdc_socrata_fpsi_y8tj
