state,state_abbr,land_area_sqmi,centroid_lat,centroid_lon,source_url
Oregon,OR,95996.74699999999,43.920458676643364,-120.55661912033246,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
Pennsylvania,PA,44742.225,40.870772183662005,-77.80622826929275,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
Rhode Island,RI,1033.892,41.6470626597778,-71.55606590624649,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
South Carolina,SC,30064.230000000003,33.91091247962745,-80.89140067285173,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
South Dakota,SD,75807.888,44.418501902796606,-100.23767402209037,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
Tennessee,TN,41232.744000000006,35.83784506065495,-86.35207940343153,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
Texas,TX,261270.027,31.443009407677117,-99.37686796765263,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
Utah,UT,82595.69200000001,39.25819125725016,-111.65637160859437,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
Vermont,VT,9217.258000000002,44.053982952742565,-72.65614827660298,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
Virginia,VA,39482.095,37.510139088019265,-78.85876504010527,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
Washington,WA,66455.433,47.37151923220737,-120.45414922777755,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
West Virginia,WV,24041.234,38.63279844607902,-80.61748632651444,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
Wisconsin,WI,54167.28600000001,44.623798572826644,-89.98922103796441,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
Wyoming,WY,97088.54200000002,42.98118123946853,-107.53249163170973,https://www2.census.gov/geo/docs/maps-data/data/gazetteer/2023_Gazetteer/2023_Gaz_counties_national.zip
