State,Prevalence,95% CI,source_url
Alabama,38.9,"(37.1, 40.7)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Alaska,34.0,"(32.0, 36.0)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Arizona,33.3,"(31.4, 35.3)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Arkansas,38.9,"(37.2, 40.7)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
California,29.1,"(27.6, 30.5)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Colorado,25.0,"(24.0, 26.0)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Connecticut,32.0,"(30.4, 33.6)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Delaware,36.6,"(34.5, 38.9)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
District of Columbia,25.5,"(23.5, 27.5)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Florida,29.6,"(28.1, 31.3)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Georgia,35.4,"(33.7, 37.1)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Guam,40.2,"(32.9, 47.9)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Hawaii,27.0,"(25.4, 28.6)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Idaho,32.7,"(30.8, 34.7)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Illinois,34.2,"(33.1, 35.3)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Indiana,38.4,"(37.3, 39.5)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Iowa,36.6,"(35.3, 38.0)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Kansas,37.6,"(36.3, 38.8)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Kentucky,37.2,"(35.5, 38.9)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Louisiana,39.2,"(37.4, 41.1)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Maine,33.2,"(32.1, 34.4)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Maryland,32.7,"(31.5, 33.8)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
