State,Prevalence,95% CI,source_url
Massachusetts,27.0,"(25.8, 28.2)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Michigan,36.1,"(34.8, 37.5)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Minnesota,32.3,"(31.4, 33.3)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Mississippi,40.4,"(38.1, 42.7)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Missouri,34.6,"(33.1, 36.2)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Montana,31.0,"(29.5, 32.4)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Nebraska,37.6,"(36.4, 38.9)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Nevada,34.2,"(31.3, 37.3)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
New Hampshire,31.1,"(29.3, 32.9)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
New Jersey,27.7,"(26.3, 29.0)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
New Mexico,34.5,"(32.1, 37.1)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
New York,29.5,"(28.8, 30.2)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
North Carolina,34.5,"(32.7, 36.3)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
North Dakota,36.8,"(35.2, 38.5)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Ohio,36.9,"(35.5, 38.4)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Oklahoma,36.8,"(35.4, 38.2)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Oregon,33.5,"(32.1, 35.0)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Pennsylvania,34.2,"(32.0, 36.5)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Puerto Rico,36.2,"(33.9, 38.4)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Rhode Island,31.1,"(29.3, 32.9)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
South Carolina,34.6,"(32.9, 36.4)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
South Dakota,37.0,"(33.8, 40.3)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Tennessee,Insufficient data*,Insufficient data*,https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Texas,35.6,"(34.0, 37.3)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Utah,31.0,"(29.9, 32.1)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Vermont,29.0,"(27.5, 30.5)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Virgin Islands,37.7,"(30.7, 45.3)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Virginia,32.3,"(30.7, 34.0)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Washington,31.5,"(30.7, 32.2)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
West Virginia,41.4,"(39.8, 43.0)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Wisconsin,37.4,"(36.1, 38.7)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
Wyoming,32.5,"(30.7, 34.3)",https://www.cdc.gov/obesity/media/files/2025/11/2-Obesity-by-state-in-2024.csv
