State,Lit_P1,Lit_P1_CI_L,Lit_P1_CI_U,Lit_P1_CV,Lit_P1_CI_L_indicator,Lit_P2,Lit_P2_CI_L,Lit_P2_CI_U,Lit_P2_CV,Lit_P3,Lit_P3_CI_L,Lit_P3_CI_U,Lit_P3_CV,Lit_P3_indicator,Lit_P3_CI_L_indicator,Lit_A,Lit_A_CI_L,Lit_A_CI_U,Lit_A_CV,Num_P1,Num_P1_CI_L,Num_P1_CI_U,Num_P1_CV,Num_P2,Num_P2_CI_L,Num_P2_CI_U,Num_P2_CV,Num_P3,Num_P3_CI_L,Num_P3_CI_U,Num_P3_CV,Num_P3_indicator,Num_P3_CI_L_indicator,Num_A,Num_A_CI_L,Num_A_CI_U,Num_A_CV,POP,POP_TARGET,Male,Female,White,Black,Hispanic,Asian,AIAN,NHPI,Other_race,Less_HS,HS,More_HS,Eng_not_well,FB_after2010,FB_1990_2009,FB_before1990,FB,Poverty_100,Poverty_150,SNAP,Employed,Unemployed,Not_in_labor,OCC_Manage,OCC_Service,OCC_Sales,OCC_Natural,OCC_Military,OCC_Prod,No_Insurance,Shape_Length,Shape_Area,OBJECTID_1,STATEFP,STUSPS,source_item_id,source_title,source_url,extraction_method
Minnesota,0.131,0.105,0.154,0.092,,0.297,0.262,0.331,0.058,0.572,0.542,0.607,0.029,,,278.8,274.6,283.3,0.008,0.204,0.175,0.228,0.066,0.327,0.29,0.362,0.055,0.469,0.436,0.507,0.037,,,267.7,263.3,272.4,0.009,5490726,3994565,0.498,0.502,0.837,0.06,0.052,0.047,0.01,0.0,0.046,0.072,0.254,0.674,0.189,0.018,0.046,0.018,0.082,0.105,0.176,0.086,0.78,0.036,0.184,0.402,0.163,0.226,0.08,0.0,0.128,0.054,4073673.3695389614,458815556011.74646,11,27,MN,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
New Jersey,0.207,0.181,0.238,0.068,,0.321,0.285,0.356,0.056,0.473,0.439,0.505,0.035,,,264.3,259.2,268.9,0.009,0.301,0.274,0.337,0.054,0.331,0.29,0.368,0.059,0.368,0.332,0.404,0.048,,,249.7,243.9,254.7,0.011,8960161,6597867,0.488,0.512,0.679,0.135,0.197,0.094,0.002,0.0,0.09,0.108,0.279,0.612,0.203,0.033,0.116,0.072,0.221,0.107,0.173,0.092,0.706,0.054,0.239,0.417,0.165,0.241,0.071,0.001,0.105,0.097,1096362.165203349,34589950408.918945,12,34,NJ,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
North Carolina,0.213,0.188,0.233,0.053,,0.329,0.3,0.359,0.045,0.459,0.433,0.486,0.029,,,265.5,261.6,269.5,0.007,0.329,0.304,0.355,0.039,0.318,0.288,0.35,0.049,0.353,0.322,0.381,0.041,,,249.1,244.5,253.2,0.009,10052564,7413801,0.487,0.513,0.69,0.215,0.091,0.027,0.012,0.001,0.056,0.131,0.261,0.608,0.22,0.014,0.048,0.017,0.078,0.161,0.265,0.137,0.666,0.053,0.266,0.365,0.171,0.228,0.094,0.011,0.131,0.121,4308360.653801844,195726597360.44208,13,37,NC,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
North Dakota,0.134,0.107,0.168,0.111,,0.313,0.273,0.35,0.062,0.553,0.519,0.588,0.032,,,275.9,270.0,281.3,0.01,0.21,0.18,0.244,0.076,0.347,0.303,0.386,0.059,0.443,0.403,0.484,0.045,,,264.2,257.9,270.1,0.012,745475,541448,0.513,0.487,0.877,0.023,0.033,0.014,0.053,0.0,0.032,0.077,0.271,0.652,0.106,0.013,0.018,0.005,0.036,0.11,0.183,0.072,0.78,0.022,0.185,0.359,0.17,0.216,0.125,0.006,0.125,0.08,2711008.00686924,400348681028.8713,14,38,ND,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Oklahoma,0.201,0.173,0.237,0.08,,0.362,0.318,0.403,0.058,0.437,0.4,0.473,0.042,,,263.0,257.5,268.2,0.01,0.31,0.278,0.348,0.056,0.362,0.318,0.402,0.06,0.329,0.289,0.367,0.059,,,247.3,241.1,252.7,0.012,3896251,2801725,0.496,0.504,0.726,0.073,0.101,0.021,0.074,0.001,0.105,0.125,0.315,0.56,0.205,0.012,0.033,0.014,0.059,0.162,0.27,0.134,0.666,0.042,0.285,0.339,0.173,0.237,0.114,0.006,0.132,0.149,3102774.701672526,274409542658.4414,15,40,OK,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Pennsylvania,0.181,0.157,0.202,0.063,,0.375,0.341,0.408,0.045,0.444,0.416,0.476,0.034,,,266.2,262.8,269.9,0.007,0.287,0.258,0.313,0.048,0.376,0.34,0.41,0.047,0.337,0.308,0.372,0.049,,,252.4,248.5,256.6,0.008,12790505,9434719,0.489,0.511,0.811,0.111,0.068,0.033,0.002,0.0,0.043,0.101,0.356,0.543,0.181,0.014,0.033,0.019,0.066,0.131,0.212,0.13,0.696,0.049,0.254,0.378,0.173,0.233,0.082,0.0,0.133,0.071,2096287.7717914996,205462807664.1441,16,42,PA,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
South Dakota,0.149,0.12,0.182,0.105,,0.343,0.301,0.384,0.06,0.509,0.47,0.545,0.036,,,271.1,265.2,276.5,0.01,0.237,0.204,0.271,0.071,0.368,0.327,0.41,0.057,0.395,0.355,0.436,0.05,,,259.1,253.2,264.9,0.011,855444,606980,0.503,0.497,0.847,0.017,0.035,0.014,0.087,0.0,0.035,0.086,0.305,0.609,0.152,0.01,0.018,0.005,0.033,0.139,0.225,0.106,0.765,0.031,0.199,0.353,0.166,0.237,0.112,0.002,0.129,0.097,2879377.845165972,391982601695.81287,17,46,SD,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Texas,0.282,0.256,0.308,0.047,,0.318,0.286,0.352,0.052,0.4,0.372,0.427,0.036,,,253.6,249.9,257.3,0.007,0.385,0.357,0.413,0.037,0.306,0.273,0.338,0.054,0.309,0.282,0.336,0.046,,,238.0,234.0,242.0,0.008,27419612,19698535,0.497,0.503,0.746,0.12,0.389,0.045,0.005,0.001,0.083,0.172,0.251,0.577,0.217,0.027,0.091,0.05,0.169,0.16,0.264,0.127,0.68,0.043,0.272,0.358,0.174,0.238,0.108,0.004,0.118,0.182,7248159.707223264,951016155125.131,18,48,TX,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Wyoming,0.136,0.103,0.174,0.127,,0.353,0.305,0.408,0.073,0.51,0.46,0.555,0.047,,,272.4,265.5,279.0,0.013,0.225,0.188,0.267,0.087,0.376,0.329,0.424,0.065,0.398,0.349,0.443,0.059,,,259.6,251.8,266.4,0.014,583200,425632,0.511,0.489,0.913,0.01,0.097,0.009,0.023,0.001,0.044,0.072,0.287,0.64,0.133,0.006,0.021,0.009,0.036,0.111,0.191,0.058,0.736,0.037,0.22,0.334,0.179,0.207,0.153,0.004,0.123,0.119,2776935.103530816,474215395793.71936,19,56,WY,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Connecticut,0.172,0.138,0.198,0.088,,0.318,0.271,0.363,0.073,0.51,0.47,0.556,0.041,,,271.4,265.5,278.1,0.012,0.26,0.223,0.293,0.066,0.332,0.288,0.379,0.069,0.408,0.366,0.452,0.053,,,258.1,251.9,264.9,0.013,3594478,2670622,0.488,0.512,0.767,0.105,0.154,0.044,0.003,0.0,0.082,0.098,0.272,0.631,0.17,0.023,0.072,0.047,0.142,0.101,0.163,0.124,0.717,0.057,0.222,0.425,0.176,0.228,0.073,0.003,0.094,0.064,768237.2073694846,23157571397.37083,20,9,CT,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Missouri,0.189,0.167,0.219,0.07,,0.349,0.314,0.382,0.05,0.462,0.43,0.491,0.033,,,266.0,261.8,269.9,0.008,0.291,0.266,0.321,0.048,0.358,0.323,0.395,0.05,0.351,0.315,0.38,0.047,,,252.1,247.8,256.4,0.009,6075300,4433127,0.491,0.509,0.824,0.116,0.04,0.019,0.004,0.001,0.037,0.108,0.309,0.583,0.16,0.009,0.022,0.009,0.04,0.146,0.24,0.122,0.697,0.044,0.254,0.358,0.176,0.241,0.088,0.003,0.134,0.104,3009989.273167909,294374413896.4051,21,29,MO,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
West Virginia,0.209,0.174,0.243,0.082,,0.418,0.373,0.466,0.055,0.373,0.332,0.412,0.054,,,259.8,253.9,265.9,0.012,0.328,0.286,0.364,0.059,0.407,0.359,0.457,0.06,0.266,0.223,0.308,0.081,,,245.3,239.1,251.8,0.013,1836843,1363674,0.494,0.506,0.933,0.036,0.015,0.008,0.002,0.0,0.021,0.141,0.406,0.454,0.145,0.004,0.007,0.005,0.016,0.178,0.284,0.165,0.603,0.048,0.348,0.328,0.193,0.237,0.113,0.001,0.129,0.08,2451333.1427409784,103047238337.75504,22,54,WV,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Illinois,0.204,0.18,0.225,0.056,,0.315,0.283,0.347,0.051,0.481,0.452,0.511,0.03,,,265.6,261.6,269.6,0.008,0.301,0.275,0.327,0.043,0.313,0.28,0.346,0.053,0.386,0.354,0.418,0.041,,,251.5,247.1,255.8,0.009,12854526,9436332,0.491,0.509,0.719,0.143,0.168,0.052,0.002,0.0,0.084,0.114,0.263,0.622,0.191,0.018,0.075,0.047,0.14,0.135,0.219,0.133,0.7,0.057,0.241,0.376,0.172,0.24,0.072,0.002,0.139,0.085,2660162.1741452245,249654450266.8795,23,17,IL,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
New Mexico,0.291,0.245,0.338,0.081,,0.315,0.252,0.383,0.106,0.394,0.332,0.449,0.076,,,251.5,243.6,259.5,0.016,0.395,0.346,0.447,0.065,0.304,0.243,0.368,0.103,0.301,0.243,0.356,0.095,,,234.6,225.7,243.1,0.019,2084828,1508869,0.495,0.505,0.742,0.02,0.482,0.014,0.095,0.001,0.128,0.15,0.264,0.586,0.129,0.012,0.05,0.035,0.097,0.206,0.321,0.17,0.629,0.054,0.31,0.355,0.207,0.232,0.111,0.004,0.092,0.125,2893804.75191104,464388920490.1033,24,35,NM,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Arkansas,0.231,0.203,0.261,0.063,,0.376,0.337,0.417,0.053,0.392,0.357,0.429,0.045,,,258.7,253.6,263.8,0.01,0.357,0.326,0.392,0.046,0.347,0.304,0.387,0.059,0.296,0.258,0.335,0.065,,,242.6,237.1,248.0,0.011,2977944,2152869,0.491,0.509,0.773,0.154,0.072,0.014,0.007,0.002,0.049,0.144,0.343,0.513,0.219,0.009,0.027,0.011,0.047,0.181,0.302,0.136,0.643,0.044,0.311,0.33,0.169,0.234,0.105,0.001,0.161,0.106,2565627.52235424,205308889427.09537,25,5,AR,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
California,0.284,0.258,0.309,0.046,,0.254,0.225,0.284,0.06,0.462,0.434,0.491,0.031,,,257.2,253.7,260.7,0.007,0.36,0.335,0.386,0.037,0.26,0.231,0.289,0.057,0.379,0.352,0.407,0.037,,,243.8,240.0,247.7,0.008,38982847,28700838,0.497,0.503,0.606,0.058,0.388,0.141,0.007,0.004,0.184,0.175,0.206,0.619,0.228,0.03,0.128,0.112,0.27,0.151,0.247,0.093,0.665,0.056,0.274,0.38,0.185,0.231,0.091,0.003,0.11,0.105,5269699.55897709,650068543543.7283,26,6,CA,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Delaware,0.203,0.172,0.237,0.08,,0.35,0.308,0.393,0.061,0.447,0.406,0.486,0.044,,,264.0,257.4,270.3,0.012,0.312,0.276,0.349,0.059,0.354,0.311,0.402,0.065,0.333,0.286,0.376,0.067,,,248.7,241.7,255.4,0.014,943732,697884,0.484,0.516,0.691,0.219,0.09,0.039,0.004,0.0,0.047,0.107,0.312,0.581,0.162,0.018,0.05,0.024,0.091,0.121,0.196,0.121,0.688,0.048,0.259,0.398,0.177,0.233,0.085,0.002,0.104,0.067,566876.5434435158,8704477514.231026,27,10,DE,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
District of Columbia,0.223,0.182,0.261,0.091,,0.25,0.197,0.303,0.108,0.527,0.478,0.579,0.049,,,276.7,268.6,285.5,0.016,0.339,0.288,0.386,0.074,0.211,0.156,0.265,0.131,0.45,0.396,0.512,0.066,,,259.8,251.1,269.1,0.018,672391,530513,0.474,0.526,0.407,0.477,0.107,0.038,0.003,0.0,0.075,0.097,0.176,0.727,0.142,0.035,0.069,0.036,0.14,0.174,0.245,0.144,0.7,0.063,0.23,0.617,0.152,0.165,0.026,0.004,0.036,0.047,81884.66842128243,292641867.6146859,28,11,DC,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Hawaii,0.159,0.122,0.197,0.119,,0.31,0.26,0.361,0.082,0.531,0.485,0.579,0.044,,,270.3,262.9,277.2,0.013,0.234,0.191,0.277,0.092,0.341,0.288,0.395,0.079,0.425,0.372,0.477,0.062,,,258.9,251.3,266.6,0.015,1421658,1041308,0.502,0.498,0.251,0.018,0.102,0.38,0.002,0.1,0.248,0.084,0.278,0.639,0.185,0.027,0.081,0.073,0.181,0.103,0.165,0.114,0.687,0.037,0.232,0.333,0.218,0.239,0.095,0.033,0.083,0.046,1510938.476277606,19099760701.213474,29,15,HI,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Iowa,0.149,0.12,0.178,0.097,,0.337,0.297,0.376,0.058,0.514,0.48,0.553,0.034,,,273.5,268.4,279.4,0.01,0.23,0.195,0.26,0.07,0.364,0.322,0.405,0.057,0.406,0.369,0.447,0.049,,,261.1,255.6,267.3,0.011,3118102,2239277,0.496,0.504,0.906,0.034,0.057,0.023,0.003,0.001,0.033,0.082,0.315,0.603,0.208,0.013,0.027,0.01,0.05,0.12,0.204,0.112,0.765,0.034,0.2,0.354,0.164,0.227,0.095,0.0,0.16,0.056,2433290.463949682,264797792928.5997,30,19,IA,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Kentucky,0.219,0.19,0.25,0.067,,0.375,0.336,0.418,0.055,0.406,0.368,0.439,0.045,,,261.0,256.6,265.2,0.008,0.337,0.304,0.375,0.052,0.35,0.309,0.392,0.06,0.313,0.273,0.346,0.059,,,247.0,242.3,251.5,0.01,4424376,3252823,0.493,0.507,0.873,0.08,0.034,0.013,0.002,0.001,0.031,0.148,0.331,0.521,0.191,0.01,0.021,0.006,0.036,0.183,0.285,0.161,0.645,0.048,0.302,0.333,0.165,0.235,0.092,0.004,0.171,0.079,2652767.4064357886,166719086744.17084,31,21,KY,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Maryland,0.2,0.169,0.235,0.082,,0.312,0.272,0.354,0.067,0.488,0.45,0.524,0.038,,,268.1,262.7,273.6,0.01,0.302,0.268,0.338,0.059,0.31,0.266,0.354,0.072,0.388,0.347,0.43,0.053,,,254.5,248.7,260.7,0.012,5996079,4449987,0.485,0.515,0.566,0.297,0.096,0.062,0.003,0.0,0.071,0.102,0.251,0.647,0.178,0.025,0.083,0.041,0.149,0.097,0.158,0.109,0.724,0.048,0.22,0.452,0.169,0.217,0.077,0.006,0.079,0.073,2984048.936273564,44717574207.55918,32,24,MD,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Michigan,0.176,0.151,0.199,0.069,,0.334,0.301,0.368,0.051,0.49,0.46,0.522,0.032,,,270.9,266.8,275.3,0.008,0.28,0.252,0.306,0.048,0.333,0.297,0.369,0.054,0.387,0.354,0.423,0.044,,,256.0,251.4,260.7,0.009,9925568,7318080,0.492,0.508,0.787,0.138,0.049,0.029,0.005,0.0,0.04,0.098,0.293,0.61,0.159,0.014,0.032,0.019,0.066,0.156,0.245,0.149,0.672,0.055,0.272,0.357,0.177,0.23,0.078,0.0,0.157,0.072,6459838.815914859,296357309578.00934,33,26,MI,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Mississippi,0.28,0.248,0.32,0.065,,0.37,0.323,0.415,0.063,0.35,0.308,0.387,0.057,,,251.7,245.6,256.9,0.011,0.434,0.397,0.477,0.047,0.301,0.254,0.346,0.076,0.265,0.225,0.306,0.075,,,233.6,227.3,239.1,0.013,2986220,2163126,0.485,0.515,0.588,0.376,0.03,0.01,0.004,0.0,0.022,0.166,0.304,0.53,0.203,0.005,0.012,0.006,0.023,0.215,0.333,0.173,0.607,0.061,0.327,0.315,0.177,0.232,0.108,0.004,0.164,0.136,2909020.130851277,175325899174.36844,34,28,MS,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
Montana,0.131,0.098,0.168,0.134,,0.36,0.31,0.416,0.074,0.509,0.456,0.553,0.048,,,272.8,266.5,278.6,0.011,0.227,0.191,0.267,0.086,0.375,0.328,0.423,0.065,0.398,0.351,0.442,0.058,,,259.9,253.4,266.1,0.013,1029862,757025,0.503,0.497,0.89,0.004,0.036,0.007,0.065,0.001,0.033,0.07,0.293,0.637,0.073,0.005,0.008,0.008,0.021,0.144,0.241,0.102,0.714,0.037,0.244,0.365,0.189,0.223,0.124,0.003,0.096,0.117,4421087.826450592,820157258348.3905,35,30,MT,c5551d52a6484c83a872f9944a881a6d,PIAAC State Indicators of Adult Literacy and Numeracy,https://nces.ed.gov/opengis/rest/services/Social_Economic/NCES_PIAAC_SKILLSMAP_STATE_2017/MapServer/0,arcgis_feature_service
