outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p,pearson_p_fdr,significant_fdr_05
firearm_death_rate_2024,50,0.2965389271990129,0.036519010345142565,0.2766154997875536,0.051820139725120236,0.042605512069332996,True
firearm_homicide_rate_2024,50,0.5249654130370123,9.079965009613309e-05,0.5098647046713924,0.0001554830286422839,0.00021186585022431054,True
firearm_suicide_rate_2024,50,-0.042982531568950696,0.7669383207982937,-0.023069543743982915,0.8736519668491944,0.7669383207982937,False
adult_obesity_pct_2024,49,0.5433836905113204,5.469548399909637e-05,0.5661192469255588,2.2392640838097467e-05,0.00021186585022431054,True
literacy_avg_score,50,-0.5135293100483537,0.00013677222334677614,-0.5305343568828413,7.398053622056038e-05,0.00023935139085685825,True
numeracy_avg_score,50,-0.533256195827124,6.684444649419871e-05,-0.5481992572177243,3.770056543372298e-05,0.00021186585022431054,True
imprisonment_rate_2023_all_ages,50,0.4807761715764804,0.0004093280562358269,0.4227000370991754,0.002227570856841996,0.0005730592787301577,True
