,missing_count,missing_pct
state,0,0.0
state_abbr,0,0.0
census_region,0,0.0
religiously_affiliated_pct,0,0.0
religiously_unaffiliated_pct,0,0.0
atheist_pct,0,0.0
agnostic_pct,0,0.0
nothing_in_particular_pct,0,0.0
firearm_death_rate_2024,0,0.0
firearm_homicide_rate_2024,0,0.0
firearm_suicide_rate_2024,0,0.0
adult_obesity_pct_2024,1,2.0
literacy_avg_score,0,0.0
numeracy_avg_score,0,0.0
imprisonment_rate_2023_all_ages,0,0.0
imprisonment_rate_2023_adult,0,0.0
poverty_pct,0,0.0
less_than_hs_pct,0,0.0
unemployment_pct,0,0.0
uninsured_pct,0,0.0
snap_pct,0,0.0
pct_black,0,0.0
pct_hispanic,0,0.0
gun_ownership_pct_proxy,0,0.0
population_density,0,0.0
median_household_income,0,0.0
median_age,0,0.0
centroid_lat,0,0.0
centroid_lon,0,0.0
