outcome,relig_own_coef,relig_own_p,neighbour_relig_p
firearm_death_rate_2024,-0.08678375377211103,0.5913923025570451,0.3970107476727903
firearm_homicide_rate_2024,-0.03933117169529417,0.504232666480465,0.15525429325016601
firearm_suicide_rate_2024,-0.08296340967341885,0.4660786380612878,0.5820787312919349
adult_obesity_pct_2024,0.007084090766362417,0.9410696006078225,0.20039769765748539
literacy_avg_score,-0.03709371216965063,0.7025334569998397,0.13989939208297172
numeracy_avg_score,-0.02307275439067058,0.8164846594201999,0.29313844200922623
imprisonment_rate_2023_all_ages,-2.8272858872760835,0.44294044787945486,0.8614170108704724
