variable,pearson_r,p_value,n
firearm_homicide_rate_2024,0.5249654130370123,9.079965009613309e-05,50
firearm_suicide_rate_2024,-0.042982531568950696,0.7669383207982937,50
gun_ownership_pct_proxy,0.24338313876533973,0.08853701811196302,50
