outcome,beta_mean,ci_3pct,ci_97pct,prob_negative,prob_positive,ci_excludes_0
firearm_death_rate_2024,-0.09480787624100638,-0.31029804677356043,0.12854387001508594,0.791,0.209,False
firearm_homicide_rate_2024,-0.07658302135254776,-0.290348042786566,0.1302790872455014,0.7645,0.2355,False
firearm_suicide_rate_2024,-0.13357226030178476,-0.3157471455169365,0.055693929923879316,0.917,0.083,False
adult_obesity_pct_2024,0.046776243092500676,-0.18566353028987742,0.28531972993505483,0.36,0.64,False
literacy_avg_score,-0.030855795435290465,-0.1464539757321807,0.09093319596509594,0.7065,0.2935,False
numeracy_avg_score,-0.014294017009549765,-0.12290956444204883,0.09305701686405292,0.595,0.405,False
imprisonment_rate_2023_all_ages,-0.1209255099268115,-0.37365005673355706,0.15769588962883693,0.8115,0.1885,False
