outcome,n,ols_coef,ols_std_beta,mixedlm_coef,mixedlm_std_beta,mixedlm_p
firearm_death_rate_2024,50,0.25708518723288504,0.29653892719901304,0.1149517417595956,0.13259288311375783,0.39650356894589245
firearm_homicide_rate_2024,50,0.2402548508543297,0.5249654130370125,0.1438325325088184,0.3142792104640273,0.04106059767618196
firearm_suicide_rate_2024,50,-0.025994085073146732,-0.042982531568950634,-0.06361415131915893,-0.10518920976112467,0.5200520871088857
adult_obesity_pct_2024,49,0.2947461822682511,0.54338369051132,0.12157064752867167,0.22412336812511843,0.1280057684642904
literacy_avg_score,50,-0.5582014760989562,-0.5135293100483534,-0.5114168333698235,-0.47048878376839226,0.0007133096851271189
numeracy_avg_score,50,-0.7041299177702298,-0.533256195827124,-0.6162335084990019,-0.4666899221154964,0.0006345609095545066
imprisonment_rate_2023_all_ages,50,9.45441381670748,0.4807761715764807,4.930231453891719,0.2507122968532683,0.09322392092773298
