outcome,r,ci_lo,ci_hi
firearm_death_rate_2024,0.29653892719901315,0.0558617153678572,0.49133516006770706
firearm_homicide_rate_2024,0.5249654130370123,0.3236443040413287,0.6679989288560632
firearm_suicide_rate_2024,-0.04298253156895068,-0.24675370852373166,0.17821835325441682
adult_obesity_pct_2024,0.5433836905113205,0.3518684174554793,0.7109573611548738
literacy_avg_score,-0.5135293100483537,-0.7167732628059227,-0.2633339213359648
numeracy_avg_score,-0.533256195827124,-0.7318237286108646,-0.2922063900406432
imprisonment_rate_2023_all_ages,0.4807761715764807,0.23911597359897385,0.6600735640429862
