outcome,n,pearson_r,pearson_p,spearman_rho,spearman_p
firearm_death_rate_2024,50,0.2965389271990129,0.036519010345142565,0.2766154997875536,0.051820139725120236
adult_obesity_pct_2024,49,0.5433836905113204,5.469548399909637e-05,0.5661192469255588,2.2392640838097467e-05
literacy_avg_score,50,-0.5135293100483537,0.00013677222334677614,-0.5305343568828413,7.398053622056038e-05
imprisonment_rate_2023_all_ages,50,0.4807761715764804,0.0004093280562358269,0.4227000370991754,0.002227570856841996
imprisonment_rate_2023_adult,50,0.49273697045919,0.00027780948546063313,0.42022276234405653,0.0023792327074628025
