outcome,interaction_F,interaction_p,base_r2,full_r2
firearm_death_rate_2024,2.7174857066849283,0.05660951711717911,0.38637464946690636,0.48612159398897703
firearm_homicide_rate_2024,3.420464348333646,0.02570936871760961,0.4501944589278094,0.5581473937147403
firearm_suicide_rate_2024,1.941026409933744,0.13763677767873048,0.2944971937379347,0.38040129702601966
adult_obesity_pct_2024,0.24694519882730873,0.8630290416224106,0.5154887033186442,0.5240880332158495
literacy_avg_score,1.9443449894189517,0.13711242024578246,0.4668220968847909,0.5318408721984791
numeracy_avg_score,2.3826093391807652,0.08291437073342671,0.4924088641043205,0.5662305219264374
imprisonment_rate_2023_all_ages,1.0333573996541725,0.3876270416234986,0.4670505780334251,0.5036842596648645
