outcome,raw,log,rank
adult_obesity_pct_2024,0.9617893621525645,0.9247614205978157,0.8555594893331326
firearm_death_rate_2024,0.5900478538562426,0.32288748352529706,0.7154457054955013
firearm_homicide_rate_2024,0.5210887128994621,0.6882088027591791,0.549612790206076
firearm_suicide_rate_2024,0.4594284188608193,0.2814837313941182,0.8320145665786077
imprisonment_rate_2023_all_ages,0.43515927292532763,0.5150117296588957,0.39759189949801954
literacy_avg_score,0.7155653998493336,0.743854782566227,0.22825837469407784
numeracy_avg_score,0.8215391758566375,0.8578495480505411,0.3357853232551242
