outcome,n,coef_religiously_affiliated_pct,se_hc3,p_value,r_squared
firearm_death_rate_2024,50,0.25708518723288504,0.0973826985218124,0.008291893219706147,0.0879353353443415
adult_obesity_pct_2024,49,0.2947461822682511,0.06333988827644058,3.264973272815654e-06,0.2952658351137025
literacy_avg_score,50,-0.5582014760989562,0.1237704532171894,6.483569479889503e-06,0.2637123522787378
imprisonment_rate_2023_all_ages,50,9.45441381670748,2.7338443324974637,0.0005436252614167601,0.23114572715573733
imprisonment_rate_2023_adult,50,12.724280160422653,3.563644906411633,0.00035619128822523253,0.24278972205730065
