,count,mean,std,min,25%,50%,75%,max
religiously_affiliated_pct,50.0,70.02,6.819809082252035,52.0,66.25,70.0,74.0,85.0
firearm_death_rate_2024,50.0,14.508000000000003,5.9124510611945365,3.7,11.65,14.05,18.275,28.0
adult_obesity_pct_2024,49.0,33.9530612244898,3.7075431016159657,25.0,31.5,34.2,36.8,41.4
literacy_avg_score,50.0,266.63,7.4130676125725055,251.5,260.54999999999995,267.20000000000005,272.7,278.9
imprisonment_rate_2023_all_ages,50.0,312.58,134.11084206425545,96.0,211.0,299.5,391.75,652.0
imprisonment_rate_2023_adult,50.0,400.62,176.11254402587372,118.0,275.25,385.0,501.5,847.0
