outcome,raw_r,raw_p,partial_r,partial_p,n
firearm_death_rate_2024,0.2965389271990129,0.036519010345142565,-0.1487630976566186,0.30251312197016733,50
firearm_homicide_rate_2024,0.5249654130370123,9.079965009613309e-05,-0.12026835601115048,0.4054417487475863,50
firearm_suicide_rate_2024,-0.042982531568950696,0.7669383207982937,-0.20729020496150735,0.14861754460993515,50
adult_obesity_pct_2024,0.5433836905113204,5.469548399909637e-05,0.08273284946963373,0.5719718329049756,49
literacy_avg_score,-0.5135293100483537,0.00013677222334677614,-0.03623657881251851,0.8027168935172666,50
numeracy_avg_score,-0.533256195827124,6.684444649419871e-05,-0.0013003811488003676,0.9928490469272145,50
imprisonment_rate_2023_all_ages,0.4807761715764804,0.0004093280562358269,-0.11617939915757665,0.4217088180631944,50
