outcome,n,coef_religiously_affiliated_pct,se_hc3,p_value,r_squared
firearm_death_rate_2024,50,0.07872187820218086,0.13846918492251473,0.5696849824361748,0.38637464946690636
adult_obesity_pct_2024,49,0.08714761726609095,0.08475611438613702,0.30384809858884243,0.5154887033186442
literacy_avg_score,50,-0.5027370767981572,0.14940596327443695,0.000765696390611452,0.4668220968847909
imprisonment_rate_2023_all_ages,50,3.845167802523213,2.8898663259624144,0.1833307254510873,0.4670505780334251
imprisonment_rate_2023_adult,50,5.523096818887335,3.791770779163606,0.14522657260712732,0.4728250614978571
