outcome,moran_raw,p_raw,moran_resid,p_resid,n
firearm_death_rate_2024,0.47903210514492184,0.001,-0.009016334123059811,0.914,50
firearm_homicide_rate_2024,0.5833014619495902,0.001,0.057065055969224,0.497,50
firearm_suicide_rate_2024,0.33834241151769645,0.001,-0.06743767531332531,0.406,50
adult_obesity_pct_2024,0.42541999300965344,0.001,-0.02526757093952841,0.757,49
literacy_avg_score,0.42907099685263117,0.001,-0.08926758058625897,0.265,50
numeracy_avg_score,0.4778557234211431,0.001,-0.09901020426164343,0.206,50
imprisonment_rate_2023_all_ages,0.5294947517201234,0.001,-0.10526942655911589,0.211,50
